"entity_id","entity","facility","year","metric","value","unit","as_of_date","source_name","source_url","note"
"CCS","Chambishi Copper Smelter Ltd","","2023","production_value_usd","987574138","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"FQM_TRIDENT","Kalumbila Minerals / Sentinel (FQM Trident)","","2023","production_value_usd","1571394742","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"LUMWANA","Lumwana Mining Co. (Barrick)","","2023","production_value_usd","999777606","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"MOPANI","Mopani Copper Mines Plc","","2023","production_value_usd","296966378","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines","","2023","production_value_usd","177624287","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"KCM","Konkola Copper Mines Plc","","2023","production_value_usd","164207003","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"LUBAMBE","Lubambe Copper Mine Ltd","","2023","production_value_usd","126679839","USD","","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)","",""
"","Chambishi Copper Smelter Ltd (CNMC 60% / Yunnan Copper JV)","Chambishi Copper Smelter","","construction_cost_usd","300000000","USD","2009-01","Institute of Developing Economies (IDE-JETRO), 'China's Mining Footprint in Africa'","https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_08.html","'CNMC and Yunnan Copper Industry is set to commission a US$300 million copper smelter in Zambia's Chambishi town.' Same $300m figure repeated by Mining.com (https://www.mining.com/the-mad-scramble-for-copper/), which dates commissioning to 2013; first phase actually opened 2009."
"CCS","Chambishi Copper Smelter Ltd","Chambishi Copper Smelter","","capacity_tpa","150000","tonnes blister copper per annum (Phase 1)","2009","China Nonferrous Mining Corporation Ltd (CNMC) company profile","https://cnmcl.net/en/about-us/company-profile/","Phase 1: 150,000 t blister copper + 400,000 t sulphuric acid per year."
"CCS","Chambishi Copper Smelter Ltd","Chambishi Copper Smelter","","capacity_tpa","250000","tonnes blister/anode copper per annum (post Phase 2)","2025","China Nonferrous Mining Corporation Ltd (CNMC) company profile","https://cnmcl.net/en/about-us/company-profile/","After Phase 2 expansion: 250,000 t blister/anode copper, 600,000 t sulphuric acid, 17,500 t cobalt-copper alloy, 300 t bismuth oxychloride per year. Phase 2 expansion cost not found in a citable source."
"","Chambishi Metals Plc (ERG 90% / ZCCM-IH 10%)","Chambishi cobalt/copper refinery","","capacity_tpa","6800","tonnes cobalt metal per annum","2020-01 (on care & maintenance since)","Eurasian Resources Group (Luxembourg) enterprise page","https://www.eurasianresources.lu/en/pages/all-enterprises/chambishi-metals-plc.html","Verified on ERG page: '6,800 tpa cobalt metal', acquired 2010, currently on care and maintenance. ZCCM-IH 10% stake per Investing News Network (https://investingnews.com/daily/resource-investing/battery-metals-investing/cobalt-investing/erg-chambishi-metals-suspends-cobalt-production-zambia/)."
